"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
1 "5" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 -0.981225957924528 -0.976324063584906 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.98773444 -0.980645626981132 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.984278207358491 -0.981942928867925 -0.984278207358491 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995073759245283 -0.987018226792453 -0.992349818113208 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.987107727735849 -0.98234533 -0.985356361132075 -0.982313804716981 -0.99254247754717 -0.992536003396226 -0.984617623396226 -0.978466072075472 -0.994815376981132 -0.994671123207547
1 NA 0.263313595585034 -0.0186876652656803 -0.107348889617347 -0.464679269356901 -0.258566172567687 -0.416632491759524 0.709158285020408 -0.0482274775884354 0.0829487556527211 -0.953747571632653 -0.945728884210884 -0.916712682520408 0.0774024677105442 0.01814390846 -0.0100850835629592 -0.440015192102381 -0.377529663940136 -0.66776026185034 -0.0203155207061905 -0.0932415850278911 0.0883307007753401 -0.632359387772109 -0.354217921507993 -0.528424970196939 -0.0966618454460204 -0.0412935071251701 -0.0468128990560204 -0.573792216979592 -0.56945428312585 -0.605549889564286 -0.357972403053673 -0.409692096181293 -0.357972403053673 -0.409692096181293 -0.46486148465 -0.429900996740272 -0.385072413787075 -0.413516216019728 -0.575439827302721 -0.590274679782313 -0.448365219478231 -0.303565802176327 -0.526305877935374 -0.473205890109524 -0.285206944379354 -0.412168904937415 -0.466716440187789 -0.421160013930412 -0.642044250680272 -0.46266011250466 -0.372371992302993 -0.691984864897959 -0.55775019252415 -0.41811631789898 -0.476508878206463 -0.657925371493197 -0.32936345020102 -0.590649407380952 -0.387067178448639 -0.518934757083673 -0.410117480821633 -0.460572110308844 -0.453949752609524 -0.492324499346939 -0.583083681662245 -0.630132444231293
2 "5" 0.277911472222222 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 0.896928566851852 -0.370062696851852 0.129747161222222 -0.986685818703704 -0.97419442037037 -0.945927078703704 0.0747588597592593 0.0103291774794444 -0.00837158846722222 -0.981085715555556 -0.97105943962963 -0.982841446481482 -0.0238623875712963 -0.0820396577592593 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852 -0.105562157888889 -0.042241953537037 -0.0546539479425926 -0.979324000740741 -0.983447258518519 -0.973610118333333 -0.965875181296296 -0.957874965 -0.965875181296296 -0.957874965 -0.980489077407407 -0.976675280185185 -0.963466341851852 -0.95394338037037 -0.983951904259259 -0.977204427777778 -0.983946739814815 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518518 -0.980973241666667 -0.970851337962963 -0.979775152037037 -0.983007923703704 -0.973520241111111 -0.984599905185185 -0.967037112037037 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.97103605037037 -0.969754295740741 -0.964052166481482 -0.960519381481482 -0.977065295555556 -0.97516046 -0.961775904814815 -0.956788725740741 -0.977849827407407 -0.977754298148148
2 NA 0.272068312370968 -0.0192872398104032 -0.117771074282258 -0.5224775811375 -0.313920776330645 -0.510889833941935 0.609364044879032 -0.0986976621650968 0.135979776175 -0.957861489032258 -0.956950147056452 -0.945243079395161 0.0793576084950403 0.00638190963870968 0.00274316743241936 -0.465644643158871 -0.387537536246774 -0.68941914983871 -0.0577651489409274 -0.0513554359794355 0.0871346911193548 -0.653524395929032 -0.668835168709677 -0.563041106083065 -0.0836386521064516 -0.0436505521762097 -0.0559937500903226 -0.604691907903226 -0.740079350774194 -0.60950748977621 -0.441523564409677 -0.46461347046129 -0.441523564409677 -0.46461347046129 -0.502267654602823 -0.410961084481452 -0.538845468216653 -0.621063280645161 -0.694869265967742 -0.688458703483871 -0.484458432668145 -0.317750144731089 -0.557705985934274 -0.539382893857258 -0.357336810966935 -0.525393258750806 -0.470384773935081 -0.408318447791935 -0.658254966016129 -0.510643012960887 -0.408034133747984 -0.719725337903226 -0.567228789181855 -0.667523061645161 -0.523418391474194 -0.682243469375 -0.674067383346774 -0.620700989439516 -0.416698714224597 -0.578322461911694 -0.407991519343548 -0.419432161565323 -0.642687381439516 -0.674907785451613 -0.702354286229839 -0.693339323770161
3 "5" 0.280046513278689 -0.0143376555065574 -0.101621722633148 -0.96674254295082 -0.893449307213115 -0.911419015081967 0.93503077852459 -0.301735130327869 0.024763106752459 -0.982020428032787 -0.957425321803279 -0.928161577377049 0.0750900622277049 0.00771663644590164 -0.00807177934114754 -0.957086489344262 -0.941686785737705 -0.973059634918033 -0.0246626070770492 -0.0585101918262295 0.0665262054098361 -0.900462227540984 -0.927788618196721 -0.91236408147541 -0.0994602620655738 -0.0472415819016393 -0.0416832156688525 -0.940937642459016 -0.968433747868853 -0.958293011803279 -0.925430819016393 -0.915143303606557 -0.925430819016393 -0.915143303606557 -0.959303840327869 -0.948770043278689 -0.892089349344262 -0.88212522147541 -0.962339339672131 -0.957679766885246 -0.960123409508197 -0.908075353770492 -0.939507735245902 -0.969931287377049 -0.89243434852459 -0.904801254590164 -0.957666856721311 -0.943497973606557 -0.969174903442623 -0.960570921803279 -0.943948547213115 -0.975595949508197 -0.901282267540984 -0.937711157213115 -0.916172537704918 -0.901985672459016 -0.923125941147541 -0.919743846065574 -0.926968932295082 -0.921836076557377 -0.948627467704918 -0.94820681442623 -0.913682362622951 -0.883439718032787 -0.960331717868852 -0.957121510491803
3 NA 0.271986986021429 -0.0186225785441786 -0.107553794920357 -0.548616939921429 -0.389946504349643 -0.597463437925 0.658313632142857 0.0339989556099643 0.0531765465035714 -0.963067084892857 -0.941762723321429 -0.92670587375 0.0691019365640357 0.0159369242777143 0.0011169046577125 -0.565421438471429 -0.473451260602143 -0.757506964964286 -0.0248896901883929 -0.0778087689875 0.0910798425777143 -0.6554293316275 -0.727126636607143 -0.6652844435 -0.0990890578660714 -0.0386566785142857 -0.0543910809014286 -0.634513564160714 -0.815259122714286 -0.696131589189286 -0.484213334944964 -0.520656816301786 -0.484213334944964 -0.520656816301786 -0.582838128021429 -0.533344565686071 -0.588916932757143 -0.628670966835714 -0.745216500214286 -0.770107354464286 -0.552884013810357 -0.413265580179643 -0.647403595357143 -0.548398934475 -0.417858913965714 -0.603555170032143 -0.577971443182143 -0.504401950152821 -0.738910684142857 -0.591892845805714 -0.476172832414811 -0.774905352642857 -0.585632514730357 -0.739728783285714 -0.617264324885 -0.679472151148214 -0.722641501892857 -0.714248757107143 -0.5032855923625 -0.606707944371071 -0.529836404724286 -0.543192443808429 -0.673934739568571 -0.664712191519286 -0.777353286607143 -0.777988374821429
4 "5" 0.280499745892857 -0.00948911098553571 -0.0961574905535714 -0.97692058 -0.86159737875 -0.896880538392857 0.95619779125 -0.0759009061071429 0.166893825946429 -0.972908355892857 -0.917613464821429 -0.899404775267857 0.0721328379857143 -0.00653015693773214 -0.0211889890567857 -0.972586541964286 -0.938354677857143 -0.973054201071429 -0.0306449342357143 -0.061824850625 0.0755636430892857 -0.909687974464286 -0.949227146964286 -0.909995038571429 -0.103057894142857 -0.0461257201357143 -0.0490753497867857 -0.949633878571429 -0.976065174642857 -0.957982019464286 -0.906478051785714 -0.890976683392857 -0.906478051785714 -0.890976683392857 -0.963370738392857 -0.958159482142857 -0.900982100535714 -0.885144317678571 -0.967614073928571 -0.964282784285714 -0.973497549642857 -0.889549205 -0.93164342125 -0.978737637678571 -0.857380281803571 -0.887554317678571 -0.972310894285714 -0.937624242142857 -0.968648411607143 -0.975706723571429 -0.944075308928571 -0.976229505535714 -0.905464161964286 -0.955992945178571 -0.915280955357143 -0.912464793928571 -0.945825840178571 -0.91665163125 -0.917614014821429 -0.895340042142857 -0.956139283571429 -0.96003249875 -0.914209165714286 -0.887194404285714 -0.964471139464286 -0.9664302175
4 NA 0.272827818295019 -0.0159494052576398 -0.1099596708659 -0.525458104321839 -0.434475714642107 -0.66928692394636 0.65303800137931 0.153033945266455 0.163538084195402 -0.960433159003831 -0.946524029206897 -0.950414630842912 0.0803079722762452 0.00566835095200383 -0.00440956251187739 -0.558745521275134 -0.508046643411877 -0.815524670574713 -0.0285763652558238 -0.0823486453708812 0.100041682909962 -0.656707070490421 -0.765839126896552 -0.686976621877395 -0.108889505781992 -0.0387376007249042 -0.0596828021025287 -0.675331397126437 -0.886719050114943 -0.703394730678161 -0.487581478654789 -0.545530932708812 -0.487581478654789 -0.545530932708812 -0.590191990454521 -0.580541411796935 -0.603790341454406 -0.668459849283525 -0.787345883256705 -0.818419400076628 -0.554849652854406 -0.447796176206897 -0.717385438199234 -0.51576422240364 -0.465419185576284 -0.670402912145594 -0.583302320529885 -0.529619714068046 -0.794366985057471 -0.573584670388123 -0.51871212924636 -0.835723400613027 -0.585327945649808 -0.804822308045977 -0.640824530712644 -0.680829363689655 -0.74792540697318 -0.734999629425287 -0.534401123041379 -0.625232114770115 -0.566119635383525 -0.603528007559387 -0.709484965252874 -0.699413685785441 -0.811876412452107 -0.840925723065134
5 "5" 0.282544390892857 -0.00700418554517857 -0.102171095696429 -0.968591815714286 -0.869439913392857 -0.869327321785714 0.960188699107143 -0.03871012665 0.138638436607143 -0.974088206071429 -0.931973943392857 -0.914608495714286 0.0725189859107143 -0.00221990214464286 -0.0122812220569643 -0.962647080178571 -0.931217140714286 -0.963832118928571 -0.0322711902673214 -0.050987505 0.0690945763946429 -0.910395222321429 -0.933738104107143 -0.907471555714286 -0.0922249863035714 -0.0399108188821429 -0.0422221341625 -0.941930044107143 -0.961177741607143 -0.944755343035714 -0.906104701071429 -0.87977380125 -0.906104701071429 -0.87977380125 -0.956863566071429 -0.942962047678571 -0.900671630714286 -0.867041711785714 -0.958405900892857 -0.947970723571429 -0.964500917321429 -0.890796360535714 -0.915083799107143 -0.97066840875 -0.867933178017857 -0.858231387857143 -0.963059235178571 -0.93137020875 -0.958438726607143 -0.965778920714286 -0.936202600714286 -0.96807230125 -0.909661802321429 -0.939373524464286 -0.907190836607143 -0.912780915714286 -0.931857811428571 -0.91678935625 -0.9046413925 -0.886745170714286 -0.941825903035714 -0.943601960178571 -0.904543921607143 -0.868913993928571 -0.952286438035714 -0.946196462857143
5 NA 0.278411618378049 -0.0174135608155407 -0.106456354307724 -0.40277050309065 -0.296480839372358 -0.59570589151626 0.638503479715447 0.146692383060569 0.0815804264755573 -0.962475818373984 -0.9417948785 -0.948332053861789 0.0867387713723577 0.00267297072235773 -0.000830375570390244 -0.487848395468699 -0.409870879756504 -0.743752535731707 -0.0288098493050813 -0.0834514486869919 0.0906177668601626 -0.664327162597561 -0.653713149552846 -0.53809641353252 -0.106094754737805 -0.0511457505191057 -0.0525388492788618 -0.598989728662602 -0.731530715934959 -0.478159730517073 -0.359511358706301 -0.440093290841463 -0.359511358706301 -0.440093290841463 -0.505644020495935 -0.508461659781301 -0.534955344298374 -0.617875349458943 -0.650240210813008 -0.685521392154471 -0.457161526747967 -0.33766503338252 -0.646338188292683 -0.384053636610163 -0.320685844322358 -0.601801251731707 -0.523208062603658 -0.464401801654228 -0.725583997642276 -0.49710770645935 -0.390267420812114 -0.760310127642276 -0.56908621105935 -0.666454729065041 -0.453132965823455 -0.695436256219512 -0.650031140772358 -0.613026868577236 -0.442878028004065 -0.527677432628455 -0.489255914216829 -0.538336575447155 -0.62563812444065 -0.680860256422764 -0.702513865650407 -0.687672357845528
